"id	gen	sp	en	rec	cnt	lat	lng	type	lic"
"180190	Acrocephalus	scirpaceus	Eurasian Reed Warbler	Ashley Fisher	United Kingdom	49.9187	-6.2853	song	http://creativecommons.org/licenses/by-nc-sa/4.0/"
"27999	Acrocephalus	scirpaceus	Eurasian Reed Warbler	Stuart Fisher	United Kingdom	51.2887	-0.5267	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"175377	Acrocephalus	scirpaceus	Eurasian Reed Warbler	David Darrell-Lambert	United Kingdom	51.4633	0.2847	song	http://creativecommons.org/licenses/by-nc-sa/4.0/"
"24939	Acrocephalus	scirpaceus	Eurasian Reed Warbler	Stuart Fisher	United Kingdom	51.2887	-0.5267	call	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"78971	Acrocephalus	scirpaceus	Eurasian Reed Warbler	Stuart Fisher	United Kingdom	51.5634	-0.0345	call	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"97599	Acrocephalus	taiti	Henderson Reed Warbler	Todd Mark	United Kingdom	-24.345	-128.334	song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"97378	Acrocephalus	vaughani	Pitcairn Reed Warbler	Todd Mark	United Kingdom	-25.065	-130.103	song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"123009	Actitis	hypoleucos	Common Sandpiper	david m	United Kingdom	56.585	-6.1871	call, female, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"121732	Actitis	hypoleucos	Common Sandpiper	david m	United Kingdom	56.5848	-6.1869	call, female, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"121733	Actitis	hypoleucos	Common Sandpiper	david m	United Kingdom	56.5848	-6.1869	call, female, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"121736	Actitis	hypoleucos	Common Sandpiper	david m	United Kingdom	56.5848	-6.1869	call, female, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"121737	Actitis	hypoleucos	Common Sandpiper	david m	United Kingdom	56.5848	-6.1869	call, female, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"121739	Actitis	hypoleucos	Common Sandpiper	david m	United Kingdom	56.5848	-6.1869	call, female, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"121741	Actitis	hypoleucos	Common Sandpiper	david m	United Kingdom	56.5848	-6.1869	call, female, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"121744	Actitis	hypoleucos	Common Sandpiper	david m	United Kingdom	56.5848	-6.1869	call, female, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"121746	Actitis	hypoleucos	Common Sandpiper	david m	United Kingdom	56.5848	-6.1869	call, female, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"121748	Actitis	hypoleucos	Common Sandpiper	david m	United Kingdom	56.5848	-6.1869	call, female, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"121749	Actitis	hypoleucos	Common Sandpiper	david m	United Kingdom	56.5848	-6.1869	call, female, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"29462	Actitis	hypoleucos	Common Sandpiper	Stuart Fisher	United Kingdom	57.8995	-6.8495	call	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"121751	Actitis	hypoleucos	Common Sandpiper	david m	United Kingdom	56.5848	-6.1869	call, female, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"121753	Actitis	hypoleucos	Common Sandpiper	david m	United Kingdom	56.5848	-6.1869	call, female, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"121754	Actitis	hypoleucos	Common Sandpiper	david m	United Kingdom	56.5848	-6.1869	call, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"121755	Actitis	hypoleucos	Common Sandpiper	david m	United Kingdom	56.5848	-6.1869	call, female, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"122917	Actitis	hypoleucos	Common Sandpiper	david m	United Kingdom	56.585	-6.1871	call, female, flight call, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"122919	Actitis	hypoleucos	Common Sandpiper	david m	United Kingdom	56.585	-6.1871	call, female, flight call, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"122920	Actitis	hypoleucos	Common Sandpiper	david m	United Kingdom	56.585	-6.1871	call, female, flight call, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"76756	Actitis	hypoleucos	Common Sandpiper	Richard Dunn	United Kingdom	55.396	-2.223	song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"37488	Actitis	hypoleucos	Common Sandpiper	David Farrow	United Kingdom	57.39767	-5.502434	song	http://creativecommons.org/licenses/by-nc-sa/3.0/"
"122997	Actitis	hypoleucos	Common Sandpiper	david m	United Kingdom	56.585	-6.1871	call, female, flight call, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"122999	Actitis	hypoleucos	Common Sandpiper	david m	United Kingdom	56.585	-6.1871	call, female, flight call, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"123000	Actitis	hypoleucos	Common Sandpiper	david m	United Kingdom	56.585	-6.1871	call, female, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"29460	Actitis	hypoleucos	Common Sandpiper	Stuart Fisher	United Kingdom	57.8995	-6.8495	display calls of 2 birds	http://creativecommons.org/licenses/by-nc-nd/2.5/"
